2021-01-19 00:11:32,223 - INFO - #####################################
2021-01-19 00:11:32,223 - INFO - ############Start Training###########
2021-01-19 00:11:32,223 - INFO - #####################################
2021-01-19 00:12:17,547 - INFO - ####################################
2021-01-19 00:12:17,547 - INFO - ############Loading Model###########
2021-01-19 00:12:17,548 - INFO - ####################################
2021-01-19 00:13:54,593 - INFO - Env 00, Goal (003.3, -05.1), Episode 00007, setp 090, Reward 36.3 , Distance 009.2, Reach Goal
2021-01-19 00:13:55,599 - INFO - Env 06, Goal (007.0, 001.8), Episode 00008, setp 082, Reward 36.8 , Distance 009.3, Reach Goal
2021-01-19 00:13:56,817 - INFO - Env 11, Goal (-02.2, -02.0), Episode 00006, setp 152, Reward 20.2 , Distance 009.0, Time out
2021-01-19 00:13:59,317 - INFO - Env 00, Goal (-07.9, -01.9), Episode 00008, setp 027, Reward -7.7 , Distance 008.8, Crashed
2021-01-19 00:14:00,159 - INFO - Env 03, Goal (002.5, 001.4), Episode 00007, setp 072, Reward 34.6 , Distance 008.3, Reach Goal
2021-01-19 00:14:01,571 - INFO - Env 04, Goal (001.0, -08.7), Episode 00008, setp 042, Reward -5.3 , Distance 008.2, Crashed
2021-01-19 00:14:03,704 - INFO - Env 02, Goal (-01.3, -05.0), Episode 00011, setp 116, Reward 38.2 , Distance 009.8, Reach Goal
2021-01-19 00:14:04,206 - INFO - Env 05, Goal (000.6, -01.7), Episode 00008, setp 063, Reward -2.2 , Distance 009.9, Crashed
2021-01-19 00:14:05,196 - INFO - Env 07, Goal (-05.7, -06.2), Episode 00008, setp 086, Reward 37.1 , Distance 009.4, Reach Goal
2021-01-19 00:14:05,204 - INFO - Env 09, Goal (001.1, 007.7), Episode 00009, setp 112, Reward 34.8 , Distance 008.4, Reach Goal
2021-01-19 00:14:06,298 - INFO - Env 10, Goal (-03.8, 001.8), Episode 00008, setp 130, Reward 37.5 , Distance 009.5, Reach Goal
2021-01-19 00:14:07,563 - INFO - Env 01, Goal (-04.3, -06.2), Episode 00007, setp 087, Reward 33.9 , Distance 008.1, Reach Goal
2021-01-19 00:14:07,857 - INFO - Env 01, Goal (-07.4, 003.6), Episode 00008, setp 002, Reward -15.0, Distance 008.7, Crashed
2021-01-19 00:14:07,859 - INFO - Env 09, Goal (-02.9, -06.6), Episode 00010, setp 019, Reward -10.6, Distance 009.3, Crashed
2021-01-19 00:14:10,084 - INFO - Env 06, Goal (-04.6, -05.4), Episode 00009, setp 095, Reward 37.4 , Distance 009.5, Reach Goal
2021-01-19 00:14:10,511 - INFO - Env 11, Goal (-01.8, 001.3), Episode 00007, setp 088, Reward 36.7 , Distance 009.3, Reach Goal
2021-01-19 00:14:11,479 - INFO - Env 08, Goal (-06.4, 001.6), Episode 00009, setp 108, Reward 37.2 , Distance 009.4, Reach Goal
2021-01-19 00:14:12,511 - INFO - Env 03, Goal (-00.3, 000.6), Episode 00008, setp 083, Reward 34.6 , Distance 008.4, Reach Goal
2021-01-19 00:14:13,680 - INFO - Env 00, Goal (-05.8, 006.3), Episode 00009, setp 096, Reward 36.4 , Distance 009.1, Reach Goal
2021-01-19 00:14:15,780 - INFO - Env 05, Goal (005.2, -02.9), Episode 00009, setp 080, Reward 34.2 , Distance 008.2, Reach Goal
2021-01-19 00:14:16,367 - INFO - Env 04, Goal (002.8, -07.4), Episode 00009, setp 102, Reward 35.0 , Distance 008.5, Reach Goal
2021-01-19 00:14:16,975 - INFO - Env 02, Goal (007.8, -03.5), Episode 00012, setp 088, Reward 34.3 , Distance 008.3, Reach Goal
2021-01-19 00:14:18,198 - INFO - Env 07, Goal (000.8, 000.2), Episode 00009, setp 084, Reward 36.0 , Distance 008.9, Reach Goal
2021-01-19 00:14:20,464 - INFO - Env 10, Goal (-02.3, -08.3), Episode 00009, setp 094, Reward 35.2 , Distance 008.6, Reach Goal
2021-01-19 00:14:22,583 - INFO - Env 01, Goal (-01.7, 003.8), Episode 00009, setp 096, Reward 37.1 , Distance 009.3, Reach Goal
2021-01-19 00:14:23,187 - INFO - Env 09, Goal (002.6, 004.8), Episode 00011, setp 098, Reward 36.3 , Distance 009.2, Reach Goal
2021-01-19 00:14:23,567 - INFO - Env 06, Goal (-03.5, 001.9), Episode 00010, setp 084, Reward 36.7 , Distance 009.3, Reach Goal
2021-01-19 00:14:24,361 - INFO - Env 07, Goal (-00.5, 003.7), Episode 00010, setp 039, Reward -6.5 , Distance 008.4, Crashed
2021-01-19 00:14:28,305 - INFO - Env 11, Goal (-01.3, 001.9), Episode 00008, setp 118, Reward 36.0 , Distance 009.0, Reach Goal
2021-01-19 00:14:28,978 - INFO - Env 02, Goal (001.1, 001.5), Episode 00013, setp 077, Reward 35.4 , Distance 008.7, Reach Goal
2021-01-19 00:14:28,978 - INFO - Env 03, Goal (001.3, -02.7), Episode 00009, setp 108, Reward 36.9 , Distance 009.3, Reach Goal
2021-01-19 00:14:29,374 - INFO - Env 00, Goal (004.3, -04.7), Episode 00010, setp 101, Reward 37.2 , Distance 009.5, Reach Goal
2021-01-19 00:14:32,362 - INFO - Env 10, Goal (000.8, -03.4), Episode 00010, setp 082, Reward 34.3 , Distance 008.3, Reach Goal
