2021-01-10 23:38:15,901 - INFO - #####################################
2021-01-10 23:38:15,903 - INFO - ############Start Training###########
2021-01-10 23:38:15,903 - INFO - #####################################
2021-01-10 23:39:19,510 - INFO - Env 05, Goal (-06.6, 000.4), Episode 00004, setp 062, Reward -6.5 , Distance 009.9, Crashed
2021-01-10 23:39:19,510 - INFO - Env 02, Goal (-07.1, -04.0), Episode 00006, setp 006, Reward -14.5, Distance 008.8, Crashed
2021-01-10 23:39:20,333 - INFO - Env 21, Goal (002.9, -00.7), Episode 00003, setp 152, Reward 3.0  , Distance 009.3, Time out
2021-01-10 23:39:20,674 - INFO - Env 13, Goal (-01.4, 000.4), Episode 00004, setp 141, Reward -16.8, Distance 009.2, Crashed
2021-01-10 23:39:21,102 - INFO - Env 21, Goal (003.4, -05.5), Episode 00004, setp 003, Reward -15.0, Distance 009.4, Crashed
2021-01-10 23:39:21,510 - INFO - Env 21, Goal (000.1, 006.2), Episode 00005, setp 002, Reward -15.0, Distance 009.3, Crashed
2021-01-10 23:39:21,522 - INFO - Env 13, Goal (000.7, 005.1), Episode 00005, setp 003, Reward -14.6, Distance 008.1, Crashed
2021-01-10 23:39:21,911 - INFO - Env 18, Goal (-03.4, -06.5), Episode 00007, setp 050, Reward -6.7 , Distance 008.8, Crashed
2021-01-10 23:39:22,310 - INFO - Env 11, Goal (-07.5, 003.6), Episode 00006, setp 090, Reward -28.9, Distance 009.5, Crashed
2021-01-10 23:39:22,699 - INFO - Env 06, Goal (005.3, 000.8), Episode 00004, setp 152, Reward 18.4 , Distance 010.0, Time out
2021-01-10 23:39:23,222 - INFO - Env 00, Goal (008.2, 000.1), Episode 00004, setp 119, Reward -25.0, Distance 009.2, Crashed
2021-01-10 23:39:23,897 - INFO - Env 19, Goal (006.9, 000.1), Episode 00007, setp 104, Reward -5.4 , Distance 009.5, Crashed
2021-01-10 23:39:24,307 - INFO - Env 04, Goal (-05.5, -01.6), Episode 00007, setp 056, Reward -23.7, Distance 008.4, Crashed
2021-01-10 23:39:24,309 - INFO - Env 14, Goal (006.5, 004.5), Episode 00005, setp 099, Reward -18.2, Distance 009.8, Crashed
2021-01-10 23:39:24,718 - INFO - Env 12, Goal (-02.0, 005.9), Episode 00005, setp 022, Reward -19.4, Distance 009.2, Crashed
2021-01-10 23:39:25,109 - INFO - Env 01, Goal (-03.8, 001.3), Episode 00005, setp 076, Reward -18.0, Distance 009.7, Crashed
2021-01-10 23:39:25,904 - INFO - Env 03, Goal (-01.0, 005.0), Episode 00004, setp 146, Reward -5.4 , Distance 010.0, Crashed
2021-01-10 23:39:26,447 - INFO - Env 20, Goal (008.1, 000.2), Episode 00005, setp 136, Reward 3.0  , Distance 008.3, Crashed
2021-01-10 23:39:26,695 - INFO - Env 04, Goal (-03.0, 006.7), Episode 00008, setp 011, Reward -14.7, Distance 008.7, Crashed
2021-01-10 23:39:27,112 - INFO - Env 00, Goal (004.2, -01.1), Episode 00005, setp 017, Reward -15.2, Distance 008.9, Crashed
2021-01-10 23:39:27,705 - INFO - Env 07, Goal (001.0, -04.3), Episode 00004, setp 110, Reward -5.1 , Distance 009.7, Crashed
2021-01-10 23:39:28,719 - INFO - Env 16, Goal (004.8, -00.2), Episode 00005, setp 078, Reward -12.1, Distance 008.5, Crashed
2021-01-10 23:39:29,110 - INFO - Env 12, Goal (003.4, 002.0), Episode 00006, setp 023, Reward -17.3, Distance 008.6, Crashed
2021-01-10 23:39:29,116 - INFO - Env 16, Goal (-04.3, -03.8), Episode 00006, setp 002, Reward -15.0, Distance 009.7, Crashed
2021-01-10 23:39:32,490 - INFO - Env 21, Goal (-03.4, 005.1), Episode 00006, setp 055, Reward -13.0, Distance 009.1, Crashed
2021-01-10 23:39:32,917 - INFO - Env 12, Goal (002.6, 007.3), Episode 00007, setp 023, Reward -13.1, Distance 009.1, Crashed
2021-01-10 23:39:34,296 - INFO - Env 07, Goal (-03.3, 003.1), Episode 00005, setp 041, Reward -17.0, Distance 009.2, Crashed
2021-01-10 23:39:35,715 - INFO - Env 05, Goal (-04.5, 004.2), Episode 00005, setp 081, Reward -21.6, Distance 008.6, Crashed
2021-01-10 23:39:35,712 - INFO - Env 17, Goal (006.7, 000.5), Episode 00004, setp 147, Reward 5.2  , Distance 009.1, Crashed
2021-01-10 23:39:35,722 - INFO - Env 02, Goal (003.1, -04.0), Episode 00007, setp 081, Reward -25.0, Distance 010.0, Crashed
2021-01-10 23:39:36,107 - INFO - Env 14, Goal (-04.3, -00.8), Episode 00006, setp 064, Reward -13.8, Distance 008.0, Crashed
2021-01-10 23:39:36,113 - INFO - Env 10, Goal (-02.8, -06.4), Episode 00006, setp 119, Reward -13.0, Distance 008.3, Crashed
2021-01-10 23:39:36,700 - INFO - Env 19, Goal (001.9, -05.3), Episode 00008, setp 068, Reward -6.9 , Distance 008.1, Crashed
2021-01-10 23:39:37,998 - INFO - Env 15, Goal (-08.0, -02.5), Episode 00004, setp 152, Reward 13.1 , Distance 009.2, Time out
2021-01-10 23:39:38,402 - INFO - Env 06, Goal (-05.4, 006.9), Episode 00005, setp 085, Reward -22.8, Distance 008.2, Crashed
2021-01-10 23:39:38,403 - INFO - Env 23, Goal (004.3, 002.1), Episode 00009, setp 097, Reward -24.3, Distance 009.0, Crashed
2021-01-10 23:39:39,017 - INFO - Env 18, Goal (-04.9, -05.4), Episode 00008, setp 090, Reward -6.7 , Distance 008.6, Crashed
2021-01-10 23:39:39,561 - INFO - Env 12, Goal (-04.0, 002.4), Episode 00008, setp 038, Reward -20.7, Distance 008.5, Crashed
2021-01-10 23:39:39,901 - INFO - Env 12, Goal (-03.7, -00.6), Episode 00009, setp 002, Reward -15.0, Distance 009.0, Crashed
2021-01-10 23:39:39,901 - INFO - Env 09, Goal (-02.1, 004.3), Episode 00006, setp 125, Reward -17.0, Distance 009.4, Crashed
2021-01-10 23:39:39,918 - INFO - Env 03, Goal (-02.2, 004.5), Episode 00005, setp 077, Reward -18.5, Distance 008.7, Crashed
2021-01-10 23:39:40,916 - INFO - Env 10, Goal (006.6, -04.2), Episode 00007, setp 027, Reward -13.9, Distance 008.2, Crashed
2021-01-10 23:39:41,994 - INFO - Env 22, Goal (-00.5, 002.7), Episode 00003, setp 152, Reward 9.8  , Distance 009.8, Time out
2021-01-10 23:39:42,541 - INFO - Env 20, Goal (-01.7, 007.2), Episode 00006, setp 091, Reward -19.9, Distance 008.9, Crashed
2021-01-10 23:39:43,017 - INFO - Env 06, Goal (-04.9, -03.6), Episode 00006, setp 025, Reward -15.7, Distance 009.3, Crashed
2021-01-10 23:39:43,549 - INFO - Env 01, Goal (-01.2, 002.3), Episode 00006, setp 102, Reward -5.4 , Distance 009.5, Crashed
2021-01-10 23:39:45,418 - INFO - Env 18, Goal (-01.3, -00.6), Episode 00009, setp 039, Reward -17.4, Distance 008.1, Crashed
2021-01-10 23:39:45,802 - INFO - Env 20, Goal (001.0, 007.2), Episode 00007, setp 021, Reward -12.5, Distance 008.7, Crashed
2021-01-10 23:39:45,805 - INFO - Env 16, Goal (-08.6, 002.3), Episode 00007, setp 097, Reward -0.5 , Distance 009.4, Crashed
2021-01-10 23:39:46,205 - INFO - Env 15, Goal (006.6, 001.5), Episode 00005, setp 045, Reward -19.7, Distance 009.7, Crashed
2021-01-10 23:39:46,205 - INFO - Env 12, Goal (-06.6, -05.9), Episode 00010, setp 038, Reward -12.1, Distance 008.6, Crashed
2021-01-10 23:39:46,662 - INFO - Env 00, Goal (-01.2, -00.2), Episode 00006, setp 111, Reward -6.8 , Distance 009.1, Crashed
2021-01-10 23:39:47,304 - INFO - Env 15, Goal (-02.8, 001.4), Episode 00006, setp 006, Reward -15.6, Distance 009.5, Crashed
2021-01-10 23:39:48,176 - INFO - Env 09, Goal (003.0, -04.8), Episode 00007, setp 049, Reward -16.7, Distance 009.5, Crashed
2021-01-10 23:39:48,179 - INFO - Env 08, Goal (-02.4, 000.6), Episode 00006, setp 152, Reward 7.9  , Distance 008.9, Time out
2021-01-10 23:39:49,506 - INFO - Env 13, Goal (-05.7, -02.5), Episode 00006, setp 152, Reward 14.8 , Distance 009.2, Time out
2021-01-10 23:39:49,899 - INFO - Env 13, Goal (001.1, -05.0), Episode 00007, setp 002, Reward -15.0, Distance 009.7, Crashed
2021-01-10 23:39:49,901 - INFO - Env 04, Goal (000.3, 006.0), Episode 00009, setp 133, Reward 4.7  , Distance 009.5, Crashed
2021-01-10 23:39:50,300 - INFO - Env 13, Goal (-06.3, 002.0), Episode 00008, setp 002, Reward -15.0, Distance 009.1, Crashed
2021-01-10 23:39:50,301 - INFO - Env 04, Goal (006.9, -02.1), Episode 00010, setp 002, Reward -15.0, Distance 009.4, Crashed
2021-01-10 23:39:50,305 - INFO - Env 11, Goal (003.1, 007.8), Episode 00007, setp 152, Reward 7.1  , Distance 008.2, Time out
2021-01-10 23:39:51,338 - INFO - Env 21, Goal (-03.2, 000.8), Episode 00007, setp 107, Reward -6.6 , Distance 008.8, Crashed
2021-01-10 23:39:51,703 - INFO - Env 01, Goal (005.8, 005.7), Episode 00007, setp 049, Reward -8.3 , Distance 008.4, Crashed
2021-01-10 23:39:52,532 - INFO - Env 04, Goal (-02.6, -03.4), Episode 00011, setp 013, Reward -16.9, Distance 009.2, Crashed
2021-01-10 23:39:54,924 - INFO - Env 10, Goal (002.8, 006.4), Episode 00008, setp 078, Reward -8.2 , Distance 008.7, Crashed
2021-01-10 23:39:56,399 - INFO - Env 07, Goal (-06.4, 003.4), Episode 00006, setp 123, Reward -24.5, Distance 009.9, Crashed
2021-01-10 23:39:56,798 - INFO - Env 02, Goal (-00.7, -08.3), Episode 00008, setp 117, Reward -8.2 , Distance 008.8, Crashed
2021-01-10 23:39:56,802 - INFO - Env 16, Goal (-00.6, 003.6), Episode 00008, setp 060, Reward -9.2 , Distance 009.7, Crashed
2021-01-10 23:39:57,202 - INFO - Env 21, Goal (001.7, 002.8), Episode 00008, setp 030, Reward -18.2, Distance 008.1, Crashed
2021-01-10 23:39:57,708 - INFO - Env 08, Goal (-03.3, -00.7), Episode 00007, setp 051, Reward -7.9 , Distance 008.5, Crashed
2021-01-10 23:39:58,105 - INFO - Env 19, Goal (-02.2, -08.3), Episode 00009, setp 117, Reward -17.4, Distance 009.5, Crashed
2021-01-10 23:39:58,112 - INFO - Env 08, Goal (-05.4, -06.0), Episode 00008, setp 002, Reward -15.0, Distance 009.1, Crashed
2021-01-10 23:39:58,916 - INFO - Env 08, Goal (000.7, -08.6), Episode 00009, setp 006, Reward -16.0, Distance 009.8, Crashed
