2021-01-17 16:52:12,540 - INFO - ####################################
2021-01-17 16:52:12,540 - INFO - ############Loading Model###########
2021-01-17 16:52:12,540 - INFO - ####################################
2021-01-17 16:57:19,435 - INFO - Env 03, Goal (006.0, 005.1), Episode 00009, setp 088, Reward 33.7 , Distance 008.0, Reach Goal
2021-01-17 16:57:23,342 - INFO - Env 09, Goal (-04.0, -04.8), Episode 00010, setp 076, Reward 34.6 , Distance 008.3, Reach Goal
2021-01-17 16:57:24,371 - INFO - Env 02, Goal (-03.0, -07.2), Episode 00008, setp 088, Reward 36.0 , Distance 009.0, Reach Goal
2021-01-17 16:57:25,838 - INFO - Env 08, Goal (-01.0, 001.7), Episode 00009, setp 092, Reward 34.7 , Distance 008.4, Reach Goal
2021-01-17 16:57:26,246 - INFO - Env 01, Goal (-01.4, -02.8), Episode 00009, setp 077, Reward 1.3  , Distance 009.7, Crashed
2021-01-17 16:57:26,263 - INFO - Env 08, Goal (005.9, 002.7), Episode 00010, setp 002, Reward -15.0, Distance 009.6, Crashed
2021-01-17 16:57:27,827 - INFO - Env 04, Goal (003.4, -03.6), Episode 00010, setp 102, Reward 37.2 , Distance 009.4, Reach Goal
2021-01-17 16:57:29,862 - INFO - Env 00, Goal (000.0, 001.3), Episode 00009, setp 107, Reward 35.6 , Distance 008.8, Reach Goal
2021-01-17 16:57:30,243 - INFO - Env 10, Goal (004.8, 000.2), Episode 00009, setp 092, Reward 34.5 , Distance 008.5, Reach Goal
2021-01-17 16:57:30,823 - INFO - Env 05, Goal (-02.3, -00.9), Episode 00010, setp 122, Reward 5.3  , Distance 009.2, Crashed
2021-01-17 16:57:33,016 - INFO - Env 03, Goal (-01.0, 005.0), Episode 00010, setp 077, Reward 34.2 , Distance 008.2, Reach Goal
2021-01-17 16:57:36,455 - INFO - Env 07, Goal (-00.3, -05.3), Episode 00010, setp 114, Reward 34.1 , Distance 008.2, Reach Goal
2021-01-17 16:57:36,843 - INFO - Env 11, Goal (-06.2, -04.9), Episode 00009, setp 108, Reward 36.7 , Distance 009.3, Reach Goal
2021-01-17 16:57:36,851 - INFO - Env 06, Goal (-05.1, 003.1), Episode 00009, setp 112, Reward 37.5 , Distance 009.6, Reach Goal
2021-01-17 16:57:37,714 - INFO - Env 09, Goal (-02.4, 005.0), Episode 00011, setp 083, Reward 38.4 , Distance 009.9, Reach Goal
2021-01-17 16:57:38,728 - INFO - Env 09, Goal (-00.7, 007.9), Episode 00012, setp 006, Reward -15.2, Distance 010.0, Crashed
2021-01-17 16:57:38,728 - INFO - Env 01, Goal (001.7, -01.8), Episode 00010, setp 080, Reward 2.8  , Distance 008.2, Crashed
2021-01-17 16:57:39,145 - INFO - Env 02, Goal (002.0, 004.4), Episode 00009, setp 085, Reward 38.0 , Distance 009.8, Reach Goal
2021-01-17 16:57:41,099 - INFO - Env 08, Goal (-00.6, -07.9), Episode 00011, setp 093, Reward 35.4 , Distance 008.7, Reach Goal
2021-01-17 16:57:43,443 - INFO - Env 04, Goal (-05.1, -06.0), Episode 00011, setp 103, Reward 36.7 , Distance 009.2, Reach Goal
2021-01-17 16:57:43,843 - INFO - Env 05, Goal (003.0, 001.1), Episode 00011, setp 085, Reward 34.8 , Distance 008.5, Reach Goal
2021-01-17 16:57:44,245 - INFO - Env 05, Goal (-02.8, -03.5), Episode 00012, setp 002, Reward -15.0, Distance 008.6, Crashed
2021-01-17 16:57:44,265 - INFO - Env 00, Goal (-02.0, -01.1), Episode 00010, setp 090, Reward 36.3 , Distance 009.1, Reach Goal
2021-01-17 16:57:45,307 - INFO - Env 03, Goal (-00.4, 004.6), Episode 00011, setp 079, Reward 34.2 , Distance 008.2, Reach Goal
2021-01-17 16:57:45,819 - INFO - Env 10, Goal (-02.3, 004.5), Episode 00010, setp 099, Reward 35.6 , Distance 008.7, Reach Goal
2021-01-17 16:57:48,630 - INFO - Env 07, Goal (-04.1, 007.1), Episode 00011, setp 070, Reward 35.2 , Distance 008.8, Reach Goal
2021-01-17 16:57:49,517 - INFO - Env 11, Goal (-01.9, 002.7), Episode 00010, setp 075, Reward -3.5 , Distance 008.1, Crashed
2021-01-17 16:57:51,833 - INFO - Env 02, Goal (004.6, 001.2), Episode 00010, setp 082, Reward 35.8 , Distance 008.9, Reach Goal
2021-01-17 16:57:53,851 - INFO - Env 01, Goal (-00.2, 001.9), Episode 00011, setp 096, Reward 34.2 , Distance 008.3, Reach Goal
2021-01-17 16:57:54,833 - INFO - Env 06, Goal (002.8, 003.5), Episode 00010, setp 113, Reward 38.2 , Distance 009.8, Reach Goal
2021-01-17 16:57:55,259 - INFO - Env 08, Goal (-07.2, -01.1), Episode 00012, setp 091, Reward 37.6 , Distance 009.7, Reach Goal
2021-01-17 16:57:56,075 - INFO - Env 04, Goal (-01.7, 004.9), Episode 00012, setp 075, Reward 35.3 , Distance 008.6, Reach Goal
2021-01-17 16:57:56,629 - INFO - Env 09, Goal (-00.7, -03.1), Episode 00013, setp 110, Reward 35.4 , Distance 008.8, Reach Goal
2021-01-17 16:57:58,041 - INFO - Env 05, Goal (008.3, -02.7), Episode 00013, setp 086, Reward 35.8 , Distance 008.9, Reach Goal
2021-01-17 16:57:59,679 - INFO - Env 00, Goal (-08.7, -00.9), Episode 00011, setp 099, Reward 36.5 , Distance 009.1, Reach Goal
2021-01-17 16:58:01,120 - INFO - Env 03, Goal (-02.6, 002.3), Episode 00012, setp 100, Reward 33.4 , Distance 008.0, Reach Goal
2021-01-17 16:58:01,121 - INFO - Env 02, Goal (-04.0, -03.3), Episode 00011, setp 061, Reward -3.2 , Distance 009.0, Crashed
2021-01-17 16:58:01,769 - INFO - Env 10, Goal (004.2, -04.5), Episode 00011, setp 100, Reward 37.3 , Distance 009.6, Reach Goal
2021-01-17 16:58:03,209 - INFO - Env 07, Goal (-03.4, -05.2), Episode 00012, setp 098, Reward 36.7 , Distance 009.2, Reach Goal
