2021-02-04 10:11:26,215 - INFO - ####################################
2021-02-04 10:11:26,216 - INFO - ############Loading Model###########
2021-02-04 10:11:26,216 - INFO - ####################################
2021-02-04 10:13:02,883 - INFO - ####################################
2021-02-04 10:13:04,080 - INFO - ############Loading Model###########
2021-02-04 10:13:04,080 - INFO - ####################################
2021-02-04 10:32:22,152 - INFO - Env 01, Goal (-05.7, -05.7), Episode 00002, step 4125, Reward 2.0  , Distance 015.9, Crashed
2021-02-04 10:32:32,508 - INFO - Env 02, Goal (000.0, -08.0), Episode 00005, step 192, Reward 1.9  , Distance 015.9, Crashed
2021-02-04 10:32:43,231 - INFO - Env 06, Goal (000.0, 008.0), Episode 00009, step 488, Reward 1.5  , Distance 015.9, Crashed
2021-02-04 10:32:53,622 - INFO - Env 03, Goal (005.7, -05.7), Episode 00006, step 881, Reward 3.0  , Distance 015.9, Crashed
2021-02-04 10:33:04,400 - INFO - Env 02, Goal (000.0, -08.0), Episode 00006, step 298, Reward 2.5  , Distance 015.9, Crashed
2021-02-04 10:33:15,447 - INFO - Env 05, Goal (005.7, 005.7), Episode 00008, step 692, Reward 2.0  , Distance 015.9, Crashed
2021-02-04 10:33:26,439 - INFO - Env 06, Goal (000.0, 008.0), Episode 00010, step 406, Reward 1.3  , Distance 015.9, Crashed
2021-02-04 10:33:36,829 - INFO - Env 02, Goal (000.0, -08.0), Episode 00007, step 304, Reward 0.9  , Distance 016.0, Crashed
2021-02-04 10:33:47,829 - INFO - Env 05, Goal (005.7, 005.7), Episode 00009, step 301, Reward 3.0  , Distance 015.9, Crashed
2021-02-04 10:33:57,708 - INFO - Env 03, Goal (005.7, -05.7), Episode 00007, step 601, Reward 1.7  , Distance 016.0, Crashed
2021-02-04 10:34:08,236 - INFO - Env 05, Goal (005.7, 005.7), Episode 00010, step 192, Reward 0.4  , Distance 015.9, Crashed
2021-02-04 10:34:18,713 - INFO - Env 07, Goal (-05.7, 005.7), Episode 00005, step 2370, Reward 1.0  , Distance 015.9, Crashed
2021-02-04 10:34:28,308 - INFO - Env 06, Goal (000.0, 008.0), Episode 00011, step 577, Reward 0.3  , Distance 015.9, Crashed
2021-02-04 10:34:38,224 - INFO - Env 02, Goal (000.0, -08.0), Episode 00008, step 575, Reward 0.3  , Distance 015.9, Crashed
2021-02-04 10:34:48,553 - INFO - Env 06, Goal (000.0, 008.0), Episode 00012, step 190, Reward 2.2  , Distance 015.9, Crashed
2021-02-04 10:34:59,729 - INFO - Env 04, Goal (008.0, 000.0), Episode 00006, step 2462, Reward 2.4  , Distance 015.9, Crashed
2021-02-04 10:35:11,115 - INFO - Env 00, Goal (-08.0, 000.0), Episode 00005, step 2370, Reward 5.4  , Distance 015.9, Crashed
2021-02-04 10:35:21,019 - INFO - Env 02, Goal (000.0, -08.0), Episode 00009, step 400, Reward -0.1 , Distance 015.9, Crashed
2021-02-04 10:35:31,707 - INFO - Env 06, Goal (000.0, 008.0), Episode 00013, step 405, Reward 1.4  , Distance 015.9, Crashed
2021-02-04 10:35:41,920 - INFO - Env 01, Goal (-05.7, -05.7), Episode 00003, step 1865, Reward 1.9  , Distance 015.9, Crashed
2021-02-04 10:35:52,468 - INFO - ########################## model saved when update 100 times#########################
2021-02-04 10:35:52,469 - INFO - Env 00, Goal (-08.0, 000.0), Episode 00006, step 387, Reward 3.6  , Distance 015.9, Crashed
2021-02-04 10:36:03,516 - INFO - Env 06, Goal (000.0, 008.0), Episode 00014, step 297, Reward 4.1  , Distance 015.9, Crashed
2021-02-04 10:36:16,325 - INFO - Env 01, Goal (-05.7, -05.7), Episode 00004, step 324, Reward 5.0  , Distance 015.9, Crashed
2021-02-04 10:36:26,951 - INFO - Env 06, Goal (000.0, 008.0), Episode 00015, step 223, Reward 2.1  , Distance 015.9, Crashed
2021-02-04 10:36:39,744 - INFO - Env 02, Goal (000.0, -08.0), Episode 00010, step 739, Reward 7.0  , Distance 015.9, Crashed
2021-02-04 10:36:50,734 - INFO - Env 02, Goal (000.0, -08.0), Episode 00011, step 104, Reward 3.7  , Distance 015.9, Crashed
2021-02-04 10:37:03,006 - INFO - Env 02, Goal (000.0, -08.0), Episode 00012, step 116, Reward 4.0  , Distance 015.9, Crashed
2021-02-04 10:37:26,031 - INFO - Env 06, Goal (000.0, 008.0), Episode 00016, step 557, Reward 16.6 , Distance 015.9, Crashed
2021-02-04 10:37:38,544 - INFO - Env 04, Goal (008.0, 000.0), Episode 00007, step 1493, Reward 7.3  , Distance 015.9, Crashed
2021-02-04 10:37:49,642 - INFO - Env 05, Goal (005.7, 005.7), Episode 00011, step 2079, Reward 4.2  , Distance 016.0, Crashed
2021-02-04 10:38:02,117 - INFO - Env 07, Goal (-05.7, 005.7), Episode 00006, step 2098, Reward 7.3  , Distance 015.9, Crashed
2021-02-04 10:38:17,604 - INFO - Env 02, Goal (000.0, -08.0), Episode 00013, step 708, Reward 6.4  , Distance 015.9, Crashed
2021-02-04 10:38:30,118 - INFO - Env 04, Goal (008.0, 000.0), Episode 00008, step 490, Reward 5.3  , Distance 015.9, Crashed
2021-02-04 10:38:41,319 - INFO - Env 04, Goal (008.0, 000.0), Episode 00009, step 105, Reward 3.4  , Distance 015.9, Crashed
2021-02-04 10:38:53,047 - INFO - Env 04, Goal (008.0, 000.0), Episode 00010, step 111, Reward 3.1  , Distance 015.9, Crashed
2021-02-04 10:39:03,624 - INFO - Env 06, Goal (000.0, 008.0), Episode 00017, step 921, Reward 1.8  , Distance 015.9, Crashed
2021-02-04 10:39:15,229 - INFO - Env 04, Goal (008.0, 000.0), Episode 00011, step 209, Reward 3.8  , Distance 015.9, Crashed
2021-02-04 10:39:15,230 - INFO - Env 03, Goal (005.7, -05.7), Episode 00008, step 2981, Reward 4.7  , Distance 015.9, Crashed
2021-02-04 10:39:25,752 - INFO - Env 00, Goal (-08.0, 000.0), Episode 00007, step 2012, Reward 2.8  , Distance 015.9, Crashed
2021-02-04 10:39:40,213 - INFO - Env 01, Goal (-05.7, -05.7), Episode 00005, step 1923, Reward 7.4  , Distance 015.9, Crashed
2021-02-04 10:39:53,733 - INFO - Env 00, Goal (-08.0, 000.0), Episode 00008, step 264, Reward 8.3  , Distance 015.9, Crashed
2021-02-04 10:40:05,643 - INFO - Env 03, Goal (005.7, -05.7), Episode 00009, step 478, Reward 4.6  , Distance 016.0, Crashed
2021-02-04 10:40:21,043 - INFO - Env 00, Goal (-08.0, 000.0), Episode 00009, step 260, Reward 5.6  , Distance 016.0, Crashed
2021-02-04 10:40:31,905 - INFO - Env 07, Goal (-05.7, 005.7), Episode 00007, step 1415, Reward 2.8  , Distance 016.0, Crashed
2021-02-04 10:40:31,907 - INFO - Env 05, Goal (005.7, 005.7), Episode 00012, step 1532, Reward 4.5  , Distance 015.9, Crashed
2021-02-04 10:40:44,052 - INFO - Env 01, Goal (-05.7, -05.7), Episode 00006, step 604, Reward 5.0  , Distance 015.9, Crashed
2021-02-04 10:40:54,820 - INFO - Env 03, Goal (005.7, -05.7), Episode 00010, step 464, Reward 2.7  , Distance 015.9, Crashed
2021-02-04 10:41:05,536 - INFO - Env 06, Goal (000.0, 008.0), Episode 00018, step 1150, Reward 3.2  , Distance 015.9, Crashed
2021-02-04 10:41:27,355 - INFO - Env 07, Goal (-05.7, 005.7), Episode 00008, step 526, Reward 14.0 , Distance 015.9, Crashed
2021-02-04 10:41:37,416 - INFO - Env 04, Goal (008.0, 000.0), Episode 00012, step 1346, Reward 0.7  , Distance 015.9, Crashed
2021-02-04 10:41:47,420 - INFO - Env 05, Goal (005.7, 005.7), Episode 00013, step 712, Reward 1.0  , Distance 015.9, Crashed
2021-02-04 10:42:00,056 - INFO - Env 00, Goal (-08.0, 000.0), Episode 00010, step 935, Reward 5.2  , Distance 015.9, Crashed
2021-02-04 10:42:11,055 - INFO - Env 06, Goal (000.0, 008.0), Episode 00019, step 620, Reward 2.9  , Distance 015.9, Crashed
2021-02-04 10:42:24,936 - INFO - Env 05, Goal (005.7, 005.7), Episode 00014, step 354, Reward 7.4  , Distance 016.0, Crashed
2021-02-04 10:42:37,423 - INFO - Env 00, Goal (-08.0, 000.0), Episode 00011, step 352, Reward 5.9  , Distance 015.9, Crashed
2021-02-04 10:42:48,736 - INFO - Env 02, Goal (000.0, -08.0), Episode 00014, step 2556, Reward 3.1  , Distance 015.9, Crashed
2021-02-04 10:43:00,022 - INFO - Env 01, Goal (-05.7, -05.7), Episode 00007, step 1282, Reward 2.0  , Distance 015.9, Crashed
2021-02-04 10:43:13,833 - INFO - Env 00, Goal (-08.0, 000.0), Episode 00012, step 345, Reward 6.7  , Distance 015.9, Crashed
2021-02-04 10:43:38,932 - INFO - Env 02, Goal (000.0, -08.0), Episode 00015, step 477, Reward 53.3 , Distance 015.9, Reach Goal
2021-02-04 10:43:54,148 - INFO - Env 00, Goal (-08.0, 000.0), Episode 00013, step 386, Reward 6.4  , Distance 015.9, Crashed
2021-02-04 10:44:06,342 - INFO - Env 01, Goal (-05.7, -05.7), Episode 00008, step 632, Reward 5.7  , Distance 015.9, Crashed
2021-02-04 10:44:20,943 - INFO - Env 07, Goal (-05.7, 005.7), Episode 00009, step 1640, Reward 6.2  , Distance 016.0, Crashed
2021-02-04 10:44:33,903 - INFO - Env 03, Goal (005.7, -05.7), Episode 00011, step 2074, Reward 5.6  , Distance 015.9, Crashed
2021-02-04 10:44:46,349 - INFO - Env 07, Goal (-05.7, 005.7), Episode 00010, step 240, Reward 4.2  , Distance 015.9, Crashed
2021-02-04 10:45:10,130 - INFO - Env 01, Goal (-05.7, -05.7), Episode 00009, step 606, Reward 53.5 , Distance 015.9, Reach Goal
2021-02-04 10:45:31,251 - INFO - Env 07, Goal (-05.7, 005.7), Episode 00011, step 432, Reward 13.8 , Distance 016.0, Crashed
2021-02-04 10:45:43,827 - INFO - Env 00, Goal (-08.0, 000.0), Episode 00014, step 1046, Reward 5.2  , Distance 015.9, Crashed
2021-02-04 10:45:54,231 - INFO - Env 02, Goal (000.0, -08.0), Episode 00016, step 1287, Reward 2.4  , Distance 015.9, Crashed
2021-02-04 10:46:07,417 - INFO - Env 07, Goal (-05.7, 005.7), Episode 00012, step 343, Reward 7.1  , Distance 015.9, Crashed
2021-02-04 10:46:32,528 - INFO - Env 00, Goal (-08.0, 000.0), Episode 00015, step 463, Reward 53.4 , Distance 015.9, Reach Goal
2021-02-04 10:46:44,807 - INFO - Env 03, Goal (005.7, -05.7), Episode 00012, step 1246, Reward 4.3  , Distance 015.9, Crashed
2021-02-04 10:46:57,843 - INFO - Env 04, Goal (008.0, 000.0), Episode 00013, step 3037, Reward 6.9  , Distance 015.9, Crashed
2021-02-04 10:47:09,819 - INFO - Env 01, Goal (-05.7, -05.7), Episode 00010, step 1138, Reward 5.2  , Distance 016.0, Crashed
2021-02-04 10:47:20,635 - INFO - Env 00, Goal (-08.0, 000.0), Episode 00016, step 451, Reward 3.3  , Distance 015.9, Crashed
2021-02-04 10:47:45,712 - INFO - Env 05, Goal (005.7, 005.7), Episode 00015, step 3047, Reward 11.7 , Distance 015.9, Crashed
2021-02-04 10:48:11,550 - INFO - Env 00, Goal (-08.0, 000.0), Episode 00017, step 491, Reward 53.5 , Distance 015.9, Reach Goal
2021-02-04 10:48:38,034 - INFO - Env 02, Goal (000.0, -08.0), Episode 00017, step 1562, Reward 53.6 , Distance 016.0, Reach Goal
2021-02-04 10:48:50,651 - INFO - Env 00, Goal (-08.0, 000.0), Episode 00018, step 374, Reward 5.8  , Distance 015.9, Crashed
2021-02-04 10:49:15,958 - INFO - Env 00, Goal (-08.0, 000.0), Episode 00019, step 244, Reward 53.4 , Distance 015.9, Reach Goal
2021-02-04 10:49:41,623 - INFO - Env 01, Goal (-05.7, -05.7), Episode 00011, step 1454, Reward 53.5 , Distance 015.9, Reach Goal
2021-02-04 10:49:41,624 - INFO - Env 02, Goal (000.0, -08.0), Episode 00018, step 609, Reward 53.3 , Distance 015.9, Reach Goal
2021-02-04 10:49:41,631 - INFO - Env 00, Goal (-08.0, 000.0), Episode 00020, step 248, Reward 53.3 , Distance 015.9, Reach Goal
2021-02-04 10:49:58,508 - INFO - Env 01, Goal (-05.7, -05.7), Episode 00012, step 162, Reward 12.7 , Distance 016.0, Crashed
2021-02-04 10:50:23,011 - INFO - Env 05, Goal (005.7, 005.7), Episode 00016, step 1507, Reward 53.4 , Distance 015.9, Reach Goal
2021-02-04 10:50:48,727 - INFO - Env 04, Goal (008.0, 000.0), Episode 00014, step 2210, Reward 13.0 , Distance 015.9, Crashed
2021-02-04 10:51:14,040 - INFO - Env 07, Goal (-05.7, 005.7), Episode 00013, step 2932, Reward 53.7 , Distance 016.0, Reach Goal
2021-02-04 10:51:39,234 - INFO - Env 02, Goal (000.0, -08.0), Episode 00019, step 1130, Reward 53.4 , Distance 015.9, Reach Goal
2021-02-04 10:51:49,746 - INFO - Env 01, Goal (-05.7, -05.7), Episode 00013, step 1067, Reward 2.6  , Distance 015.9, Crashed
2021-02-04 10:52:02,514 - INFO - Env 01, Goal (-05.7, -05.7), Episode 00014, step 121, Reward 8.4  , Distance 015.9, Crashed
