2021-01-26 16:12:24,888 - INFO - #####################################
2021-01-26 16:12:24,890 - INFO - ############Start Training###########
2021-01-26 16:12:24,891 - INFO - #####################################
2021-01-26 16:16:54,827 - INFO - Env 06, Goal (006.5, 001.2), Episode 00005, setp 086, Reward 33.8 , Distance 008.0, Reach Goal
2021-01-26 16:16:55,495 - INFO - Env 11, Goal (002.0, 002.7), Episode 00003, setp 115, Reward 35.7 , Distance 008.8, Reach Goal
2021-01-26 16:16:57,208 - INFO - Env 02, Goal (-01.2, -05.8), Episode 00004, setp 131, Reward 38.3 , Distance 009.9, Reach Goal
2021-01-26 16:16:57,608 - INFO - Env 09, Goal (-01.9, -07.1), Episode 00005, setp 090, Reward 36.2 , Distance 009.0, Reach Goal
2021-01-26 16:16:58,987 - INFO - Env 08, Goal (-05.2, 001.3), Episode 00004, setp 117, Reward 35.4 , Distance 008.7, Reach Goal
2021-01-26 16:17:02,700 - INFO - Env 00, Goal (001.7, -00.4), Episode 00005, setp 124, Reward 38.3 , Distance 009.9, Reach Goal
2021-01-26 16:17:03,109 - INFO - Env 04, Goal (-04.5, 002.4), Episode 00004, setp 116, Reward 36.0 , Distance 009.0, Reach Goal
2021-01-26 16:17:05,109 - INFO - Env 05, Goal (-02.6, 005.9), Episode 00004, setp 143, Reward 37.6 , Distance 009.5, Reach Goal
2021-01-26 16:17:05,109 - INFO - Env 01, Goal (-06.1, 002.1), Episode 00004, setp 152, Reward 17.5 , Distance 008.4, Time out
2021-01-26 16:17:05,506 - INFO - Env 10, Goal (-02.2, -03.0), Episode 00004, setp 095, Reward 36.4 , Distance 009.2, Reach Goal
2021-01-26 16:17:05,506 - INFO - Env 00, Goal (-03.2, 004.0), Episode 00006, setp 020, Reward -10.7, Distance 008.0, Crashed
2021-01-26 16:17:05,506 - INFO - Env 05, Goal (003.1, -08.2), Episode 00005, setp 002, Reward -15.0, Distance 008.1, Crashed
2021-01-26 16:17:06,121 - INFO - Env 03, Goal (000.4, 002.5), Episode 00005, setp 088, Reward 34.5 , Distance 008.3, Reach Goal
2021-01-26 16:17:06,510 - INFO - Env 07, Goal (001.7, -05.9), Episode 00004, setp 117, Reward 37.3 , Distance 009.6, Reach Goal
2021-01-26 16:17:08,922 - INFO - Env 11, Goal (001.0, 008.7), Episode 00004, setp 101, Reward 34.9 , Distance 008.5, Reach Goal
2021-01-26 16:17:09,312 - INFO - Env 06, Goal (001.1, -00.6), Episode 00006, setp 106, Reward 36.6 , Distance 009.1, Reach Goal
2021-01-26 16:17:10,129 - INFO - Env 02, Goal (005.4, -03.5), Episode 00005, setp 097, Reward 35.1 , Distance 008.6, Reach Goal
2021-01-26 16:17:11,606 - INFO - Env 08, Goal (-03.8, 003.0), Episode 00005, setp 097, Reward 36.5 , Distance 009.1, Reach Goal
2021-01-26 16:17:13,226 - INFO - Env 09, Goal (003.8, -05.6), Episode 00006, setp 121, Reward 36.6 , Distance 009.1, Reach Goal
2021-01-26 16:17:16,401 - INFO - Env 04, Goal (001.1, -01.1), Episode 00005, setp 100, Reward 36.4 , Distance 009.0, Reach Goal
2021-01-26 16:17:17,614 - INFO - Env 00, Goal (-07.6, 003.4), Episode 00007, setp 091, Reward 33.8 , Distance 008.1, Reach Goal
2021-01-26 16:17:19,022 - INFO - Env 10, Goal (-03.6, -00.2), Episode 00005, setp 102, Reward 35.2 , Distance 008.6, Reach Goal
2021-01-26 16:17:19,615 - INFO - Env 05, Goal (005.6, -06.4), Episode 00006, setp 105, Reward 35.3 , Distance 008.7, Reach Goal
2021-01-26 16:17:20,427 - INFO - Env 03, Goal (003.4, 002.9), Episode 00006, setp 107, Reward 35.7 , Distance 008.8, Reach Goal
2021-01-26 16:17:20,807 - INFO - Env 01, Goal (-04.8, -06.1), Episode 00005, setp 112, Reward 34.5 , Distance 008.5, Reach Goal
2021-01-26 16:17:21,995 - INFO - Env 11, Goal (-02.7, 006.2), Episode 00005, setp 095, Reward 35.5 , Distance 008.7, Reach Goal
2021-01-26 16:17:21,995 - INFO - Env 07, Goal (000.1, -02.0), Episode 00005, setp 116, Reward 35.3 , Distance 008.6, Reach Goal
2021-01-26 16:17:23,916 - INFO - Env 06, Goal (-05.4, 003.5), Episode 00007, setp 110, Reward 34.6 , Distance 008.4, Reach Goal
2021-01-26 16:17:24,307 - INFO - Env 09, Goal (-02.2, 002.4), Episode 00007, setp 081, Reward -3.3 , Distance 008.3, Crashed
2021-01-26 16:17:24,307 - INFO - Env 06, Goal (-06.6, 005.8), Episode 00008, setp 002, Reward -15.0, Distance 008.8, Crashed
2021-01-26 16:17:24,307 - INFO - Env 08, Goal (001.5, 001.6), Episode 00006, setp 094, Reward 3.9  , Distance 008.9, Crashed
2021-01-26 16:17:26,311 - INFO - Env 02, Goal (-04.1, 003.1), Episode 00006, setp 123, Reward 36.0 , Distance 008.9, Reach Goal
2021-01-26 16:17:29,524 - INFO - Env 00, Goal (-02.4, -04.7), Episode 00008, setp 093, Reward 35.8 , Distance 008.9, Reach Goal
2021-01-26 16:17:31,311 - INFO - Env 05, Goal (-00.6, 002.6), Episode 00007, setp 090, Reward 35.0 , Distance 008.5, Reach Goal
2021-01-26 16:17:32,288 - INFO - Env 11, Goal (005.4, -00.2), Episode 00006, setp 082, Reward 33.8 , Distance 008.1, Reach Goal
2021-01-26 16:17:32,288 - INFO - Env 04, Goal (000.7, 007.9), Episode 00006, setp 120, Reward 36.7 , Distance 009.3, Reach Goal
2021-01-26 16:17:33,131 - INFO - Env 11, Goal (003.4, -06.9), Episode 00007, setp 006, Reward -15.0, Distance 009.3, Crashed
2021-01-26 16:17:33,805 - INFO - Env 07, Goal (-04.9, -02.1), Episode 00006, setp 091, Reward 34.2 , Distance 008.2, Reach Goal
2021-01-26 16:17:33,806 - INFO - Env 10, Goal (-01.0, 000.3), Episode 00006, setp 109, Reward 37.9 , Distance 009.7, Reach Goal
2021-01-26 16:17:35,710 - INFO - Env 03, Goal (-06.4, 001.0), Episode 00007, setp 117, Reward 36.6 , Distance 009.1, Reach Goal
2021-01-26 16:17:36,108 - INFO - Env 09, Goal (002.2, -07.4), Episode 00008, setp 091, Reward 35.9 , Distance 008.9, Reach Goal
2021-01-26 16:17:37,303 - INFO - Env 02, Goal (-03.6, 005.4), Episode 00007, setp 083, Reward 34.0 , Distance 008.1, Reach Goal
2021-01-26 16:17:38,207 - INFO - Env 01, Goal (-03.5, -02.1), Episode 00006, setp 132, Reward 33.8 , Distance 008.0, Reach Goal
2021-01-26 16:17:39,597 - INFO - Env 08, Goal (001.9, 004.7), Episode 00007, setp 118, Reward 36.0 , Distance 008.9, Reach Goal
2021-01-26 16:17:42,603 - INFO - Env 00, Goal (005.2, -00.9), Episode 00009, setp 099, Reward 36.2 , Distance 009.1, Reach Goal
2021-01-26 16:17:43,592 - INFO - Env 06, Goal (-00.6, 003.8), Episode 00009, setp 152, Reward 22.7 , Distance 010.0, Time out
2021-01-26 16:17:45,138 - INFO - Env 04, Goal (-06.5, 005.0), Episode 00007, setp 100, Reward 37.2 , Distance 009.4, Reach Goal
2021-01-26 16:17:46,615 - INFO - Env 07, Goal (004.6, -01.2), Episode 00007, setp 103, Reward 36.3 , Distance 009.1, Reach Goal
2021-01-26 16:17:47,009 - INFO - Env 05, Goal (-03.1, 000.8), Episode 00008, setp 120, Reward 38.0 , Distance 009.7, Reach Goal
2021-01-26 16:17:49,991 - INFO - Env 02, Goal (-06.7, 004.7), Episode 00008, setp 101, Reward 36.2 , Distance 009.0, Reach Goal
2021-01-26 16:17:50,406 - INFO - Env 11, Goal (004.5, -05.4), Episode 00008, setp 132, Reward 37.1 , Distance 009.5, Reach Goal
2021-01-26 16:17:50,807 - INFO - Env 01, Goal (005.2, 000.8), Episode 00007, setp 097, Reward 36.2 , Distance 009.1, Reach Goal
2021-01-26 16:17:51,333 - INFO - Env 03, Goal (006.3, -04.0), Episode 00008, setp 115, Reward 38.0 , Distance 009.7, Reach Goal
2021-01-26 16:17:52,512 - INFO - Env 10, Goal (006.8, -00.5), Episode 00007, setp 140, Reward 38.4 , Distance 009.9, Reach Goal
2021-01-26 16:17:52,907 - INFO - Env 09, Goal (-01.4, 006.3), Episode 00009, setp 124, Reward 37.8 , Distance 009.7, Reach Goal
2021-01-26 16:17:56,233 - INFO - Env 08, Goal (-02.0, 002.2), Episode 00008, setp 127, Reward 35.1 , Distance 008.6, Reach Goal
2021-01-26 16:17:57,028 - INFO - Env 09, Goal (000.2, -05.0), Episode 00010, setp 036, Reward -10.4, Distance 008.5, Crashed
2021-01-26 16:17:57,037 - INFO - Env 00, Goal (-06.4, 000.3), Episode 00010, setp 105, Reward 2.3  , Distance 009.9, Crashed
2021-01-26 16:17:57,998 - INFO - Env 06, Goal (-02.0, 004.7), Episode 00010, setp 105, Reward 36.2 , Distance 009.0, Reach Goal
2021-01-26 16:17:58,406 - INFO - Env 09, Goal (-00.1, -05.4), Episode 00011, setp 009, Reward -13.8, Distance 009.7, Crashed
2021-01-26 16:17:59,613 - INFO - Env 07, Goal (003.5, -07.7), Episode 00008, setp 091, Reward 34.1 , Distance 008.1, Reach Goal
2021-01-26 16:18:02,035 - INFO - Env 04, Goal (001.1, -05.2), Episode 00008, setp 124, Reward 36.0 , Distance 008.9, Reach Goal
2021-01-26 16:18:02,411 - INFO - Env 01, Goal (005.5, 001.4), Episode 00008, setp 087, Reward 33.5 , Distance 008.0, Reach Goal
2021-01-26 16:18:03,306 - INFO - Env 03, Goal (-00.5, 007.6), Episode 00009, setp 091, Reward 35.1 , Distance 008.5, Reach Goal
2021-01-26 16:18:04,505 - INFO - Env 05, Goal (002.4, 003.9), Episode 00009, setp 127, Reward 37.1 , Distance 009.4, Reach Goal
2021-01-26 16:18:06,689 - INFO - Env 02, Goal (006.6, -00.5), Episode 00009, setp 119, Reward 38.1 , Distance 009.7, Reach Goal
2021-01-26 16:18:07,288 - INFO - Env 11, Goal (001.0, 004.9), Episode 00009, setp 121, Reward 36.4 , Distance 009.1, Reach Goal
2021-01-26 16:18:09,198 - INFO - Env 10, Goal (008.3, 002.4), Episode 00008, setp 125, Reward 38.3 , Distance 009.9, Reach Goal
2021-01-27 15:34:31,396 - INFO - ####################################
2021-01-27 15:34:31,438 - INFO - ############Loading Model###########
2021-01-27 15:34:31,439 - INFO - ####################################
2021-01-27 15:37:32,317 - INFO - ####################################
2021-01-27 15:37:32,318 - INFO - ############Loading Model###########
2021-01-27 15:37:32,319 - INFO - ####################################
2021-01-27 15:38:43,213 - INFO - ####################################
2021-01-27 15:38:43,851 - INFO - ############Loading Model###########
2021-01-27 15:38:43,852 - INFO - ####################################
2021-01-27 15:38:54,629 - INFO - Env 05, Goal (000.8, 000.2), Episode 00001, step 090, Reward 35.1 , Distance 008.6, Reach Goal
2021-01-27 15:39:01,251 - INFO - Env 04, Goal (-03.9, -02.3), Episode 00001, step 138, Reward -5.4 , Distance 009.2, Crashed
2021-01-27 15:39:03,212 - INFO - Env 01, Goal (002.3, -04.3), Episode 00001, step 152, Reward 2.9  , Distance 009.5, Time out
2021-01-27 15:39:03,212 - INFO - Env 02, Goal (004.1, -01.1), Episode 00001, step 152, Reward 2.9  , Distance 008.0, Time out
